c_custkey,c_name,c_address,c_nationkey,c_phone,c_acctbal,c_mktsegment,c_regionkey,c_comment
0,Bob Customer 0,0 Main St,0,555-1409,71570.55,AUTOMOBILE,0,Customer 0 comment
1,Diana Customer 1,1 Main St,1,555-3286,71011.83,HOUSEHOLD,1,Customer 1 comment
2,Bob Customer 2,2 Main St,2,555-7912,-6503.91,BUILDING,2,Customer 2 comment
3,Diana Customer 3,3 Main St,3,555-4811,45589.08,BUILDING,3,Customer 3 comment
4,Iris Customer 4,4 Main St,4,555-4257,68762.16,HOUSEHOLD,4,Customer 4 comment
5,Grace Customer 5,5 Main St,5,555-4611,39413.0,FURNITURE,0,Customer 5 comment
6,Alice Customer 6,6 Main St,6,555-3615,66795.33,FURNITURE,1,Customer 6 comment
7,Eve Customer 7,7 Main St,7,555-3547,13684.51,FURNITURE,2,Customer 7 comment
8,Bob Customer 8,8 Main St,8,555-2519,31792.0,FURNITURE,3,Customer 8 comment
9,Frank Customer 9,9 Main St,9,555-5333,78784.11,MACHINERY,4,Customer 9 comment
10,Iris Customer 10,10 Main St,10,555-3045,97042.73,MACHINERY,0,Customer 10 comment
11,Bob Customer 11,11 Main St,11,555-5803,81234.51,HOUSEHOLD,1,Customer 11 comment
12,Frank Customer 12,12 Main St,12,555-4150,67502.9,BUILDING,2,Customer 12 comment
13,Diana Customer 13,13 Main St,13,555-5741,98374.37,AUTOMOBILE,3,Customer 13 comment
14,Bob Customer 14,14 Main St,14,555-7227,20577.1,FURNITURE,4,Customer 14 comment
15,Charlie Customer 15,15 Main St,15,555-7065,29079.78,FURNITURE,0,Customer 15 comment
16,Bob Customer 16,16 Main St,16,555-3803,48755.39,AUTOMOBILE,1,Customer 16 comment
17,Charlie Customer 17,17 Main St,17,555-8573,31740.1,HOUSEHOLD,2,Customer 17 comment
18,Diana Customer 18,18 Main St,18,555-6313,82713.71,BUILDING,3,Customer 18 comment
19,Diana Customer 19,19 Main St,19,555-1525,78555.04,MACHINERY,4,Customer 19 comment
20,Eve Customer 20,20 Main St,20,555-2084,13208.11,HOUSEHOLD,0,Customer 20 comment
21,Frank Customer 21,21 Main St,21,555-4483,62098.25,MACHINERY,1,Customer 21 comment
22,Henry Customer 22,22 Main St,22,555-3340,19136.82,AUTOMOBILE,2,Customer 22 comment
23,Iris Customer 23,23 Main St,23,555-9830,18901.58,HOUSEHOLD,3,Customer 23 comment
24,Grace Customer 24,24 Main St,24,555-7543,29819.61,AUTOMOBILE,4,Customer 24 comment
25,Iris Customer 25,25 Main St,0,555-9085,0.04,BUILDING,0,Customer 25 comment
26,Bob Customer 26,26 Main St,1,555-3504,59019.06,MACHINERY,1,Customer 26 comment
27,Jack Customer 27,27 Main St,2,555-2040,32324.4,HOUSEHOLD,2,Customer 27 comment
28,Henry Customer 28,28 Main St,3,555-9669,17655.55,HOUSEHOLD,3,Customer 28 comment
29,Alice Customer 29,29 Main St,4,555-2876,64988.14,HOUSEHOLD,4,Customer 29 comment
30,Eve Customer 30,30 Main St,5,555-6573,2270.74,MACHINERY,0,Customer 30 comment
31,Charlie Customer 31,31 Main St,6,555-8433,-9643.02,FURNITURE,1,Customer 31 comment
32,Iris Customer 32,32 Main St,7,555-3927,45844.98,BUILDING,2,Customer 32 comment
33,Eve Customer 33,33 Main St,8,555-9317,56986.72,AUTOMOBILE,3,Customer 33 comment
34,Frank Customer 34,34 Main St,9,555-3646,49331.69,HOUSEHOLD,4,Customer 34 comment
35,Alice Customer 35,35 Main St,10,555-6310,43746.63,BUILDING,0,Customer 35 comment
36,Frank Customer 36,36 Main St,11,555-6038,16339.75,AUTOMOBILE,1,Customer 36 comment
37,Jack Customer 37,37 Main St,12,555-2290,-578.12,MACHINERY,2,Customer 37 comment
38,Bob Customer 38,38 Main St,13,555-9727,74241.79,AUTOMOBILE,3,Customer 38 comment
39,Henry Customer 39,39 Main St,14,555-3705,19156.23,HOUSEHOLD,4,Customer 39 comment
40,Grace Customer 40,40 Main St,15,555-4470,92180.48,AUTOMOBILE,0,Customer 40 comment
41,Eve Customer 41,41 Main St,16,555-7537,99466.43,FURNITURE,1,Customer 41 comment
42,Henry Customer 42,42 Main St,17,555-9479,39663.48,AUTOMOBILE,2,Customer 42 comment
43,Diana Customer 43,43 Main St,18,555-2049,27189.41,HOUSEHOLD,3,Customer 43 comment
44,Iris Customer 44,44 Main St,19,555-4770,54728.41,BUILDING,4,Customer 44 comment
45,Bob Customer 45,45 Main St,20,555-1964,15183.6,BUILDING,0,Customer 45 comment
46,Frank Customer 46,46 Main St,21,555-2160,46557.17,FURNITURE,1,Customer 46 comment
47,Henry Customer 47,47 Main St,22,555-4510,49315.73,HOUSEHOLD,2,Customer 47 comment
48,Jack Customer 48,48 Main St,23,555-8744,16729.7,MACHINERY,3,Customer 48 comment
49,Grace Customer 49,49 Main St,24,555-4119,375.84,MACHINERY,4,Customer 49 comment
50,Frank Customer 50,50 Main St,0,555-7939,35221.25,BUILDING,0,Customer 50 comment
51,Bob Customer 51,51 Main St,1,555-1993,34288.34,FURNITURE,1,Customer 51 comment
52,Bob Customer 52,52 Main St,2,555-5073,11074.91,HOUSEHOLD,2,Customer 52 comment
53,Henry Customer 53,53 Main St,3,555-3296,36406.98,FURNITURE,3,Customer 53 comment
54,Henry Customer 54,54 Main St,4,555-5092,86193.45,BUILDING,4,Customer 54 comment
55,Henry Customer 55,55 Main St,5,555-2604,-4435.28,HOUSEHOLD,0,Customer 55 comment
56,Alice Customer 56,56 Main St,6,555-2528,91900.37,AUTOMOBILE,1,Customer 56 comment
